irn,leaid,district,fb_create_date,fb_create_month,fb_create_year,
46300,3904630,"Batavia Local SD, Clermont",10,10,2010,
43554,3904355,"Beachwood City SD, Cuyahoga",17,7,2010,
47241,3904724,"Beavercreek City SD, Greene",27,3,2010,
43562,3910017,"Bedford City SD, Cuyahoga",16,8,2010,
48926,3904892,"Benton Carroll Salem Local S, Ottawa",27,3,2010,
45211,3904521,"Bluffton Ex Vill SD, Allen",27,3,2010,
45856,3904585,"Buckeye Local SD, Ashtabula",17,10,2010,
45260,3904526,"Carey Ex Vill SD, Wyandot",27,3,2010,
43745,3904374,"Chillicothe City SD, Ross",27,4,2010,
48934,3904893,"Danbury Local SD, Ottawa",27,3,2010,
47837,3904783,"Danville Local SD, Knox",30,9,2010,
47845,3910013,"East Knox Local SD, Knox",21,6,2010,
48835,3904883,"East Muskingum Local SD, Muskingum",16,10,2010,
50674,3905067,"Eastwood Local SD, Wood",27,3,2010,
45773,3904577,"Elida Local SD, Allen",20,1,2010,
50682,3905068,"Elmwood Local SD, Wood",27,3,2010,
46102,3904610,"Fairfield City SD, Butler",27,11,2010,
43976,3904397,"Fairview Park City SD, Cuyahoga",15,6,2010,
44008,3904400,"Franklin City SD, Warren",17,7,2010,
48843,3904884,"Franklin Local SD, Muskingum",14,10,2010,
46961,3904696,"Gahanna-Jefferson City SD, Franklin",7,7,2010,
44024,3904402,"Galion City SD, Crawford",14,7,2010,
45393,3904539,"Granville Ex Vill SD, Licking",26,11,2010,
44180,3904418,"Kettering City SD, Montgomery",24,3,2010,
49866,3904986,"Lake Local SD, Stark",26,8,2010,
50690,3905069,"Lake Local SD, Wood",27,3,2010,
44206,3904420,"Lancaster City SD, Fairfield",2,2,2010,
50369,3910022,"Lincolnview Local SD, Van Wert",2,12,2010,
44263,3904426,"Lorain City SD, Lorain",16,7,2010,
49874,3904987,"Louisville City SD, Stark",16,2,2010,
44271,3904427,"Loveland City SD, Hamilton",27,3,2010,
47456,3904745,"McComb Local SD, Hancock",20,10,2010,
44388,3904438,"Medina City SD, Medina",24,2,2010,
44396,3904439,"Miamisburg City SD, Montgomery",27,3,2010,
45500,3904550,"Milford Ex Vill SD, Clermont",8,3,2010,
50740,3905074,"Mohawk Local SD, Wyandot",27,3,2010,
44420,3910012,"Mount Vernon City SD, Knox",17,7,2010,
50641,3905064,"North Central Local SD, Williams",20,10,2010,
48025,3904802,"North Fork Local SD, Licking",25,1,2010,
44545,3904454,"North Royalton City SD, Cuyahoga",30,10,2010,
48736,3904873,"Northridge Local SD, Montgomery",17,7,2010,
50716,3905071,"Northwood Local SD, Wood",11,1,2010,
47373,3904737,"Oak Hills Local SD, Hamilton",2,8,2010,
46581,3910016,"Orange City SD, Cuyahoga",20,9,2010,
47084,3904708,"Pike-Delta-York Local SD, Fulton",27,3,2010,
44651,3904465,"Port Clinton City SD, Ottawa",12,3,2010,
44677,3904467,"Princeton City SD, Hamilton",1,1,2010,
48439,3904843,"Ridgedale Local SD, Marion",27,3,2010,
47514,3904751,"Riverdale Local SD, Hancock",16,10,2010,
47894,3910014,"Riverside Local SD, Lake",17,7,2010,
45609,3904560,"Rossford Ex Vill SD, Wood",27,3,2010,
44735,3910006,"Salem City SD, Columbiana",17,7,2010,
44750,3904475,"Shaker Heights City SD, Cuyahoga",27,3,2010,
50583,3905058,"Southeast Local SD, Wayne",15,10,2010,
44834,3904483,"Stow-Munroe Falls City SD, Summit",22,3,2010,
44875,3904487,"Sylvania City SD, Lucas",27,3,2010,
46243,3904624,"Tecumseh Local SD, Clark",28,9,2010,
45617,3904561,"Tipp City Ex Vill SD, Miami",16,1,2010,
46011,3904601,"Union Local SD, Belmont",17,7,2010,
45625,3910024,"Upper Sandusky Ex Vill SD, Wyandot",3,27,2010,
48744,3904874,"Valley View Local SD, Montgomery",2,6,2010,
46821,3904682,"Vermilion Local SD, Erie",12,8,2010,
45971,3904597,"Waynesfield-Goshen Local SD, Auglaize",11,5,2010,
45658,3904565,"Wellington Ex Vill SD, Lorain",24,2,2010,
47696,3904769,"West Holmes Local SD, Holmes",12,10,2010,
46060,3904606,"Western Brown Local SD, Brown",17,10,2010,
45179,3904517,"Zanesville City SD, Muskingum",17,7,2010,
48124,3904812,"Avon Lake City SD, Lorain",13,3,2011,
48611,3904861,"Bethel Local SD, Miami",19,2,2011,
46862,3904686,"Bloom Carroll Local SD, Fairfield",29,9,2011,
49593,3904959,"Bloom-Vernon Local SD, Scioto",6,12,2011,
